ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3427708,40950,39,6524,963,0.0,4.0,6710,0,30012,30012,0,2903,1582652,4.33,4.14,5.0
3427718,28693,101,6244,1940,0.0,3.71,6325,0,30004,30004,0,2903,1527492,4.33,3.5,5.0
3427720,24828,69,5896,1384,0.0,3.88,6031,0,30003,30003,0,2903,1537292,4.33,3.85,5.0
3427723,39620,37,6200,917,0.0,4.02,6378,0,30003,30003,0,2903,1601372,4.33,4.18,5.0
3427738,22609,62,6238,1651,0.0,3.8,6318,0,30005,30005,0,2934,1581212,4.33,3.68,5.0
3427741,25921,72,5870,1488,0.0,3.85,5998,0,30002,30002,0,2966,1590492,4.34,3.78,5.0
3427756,31513,74,5897,1353,0.0,3.88,6039,0,30002,30002,0,2903,1568092,4.33,3.87,5.0
3427761,46833,76,6162,1094,0.0,3.97,6410,0,30003,30003,0,2966,1576892,4.34,4.05,5.0
3427772,37520,103,6453,1753,0.0,3.77,6373,0,30042,30042,0,2903,1552692,4.33,3.61,5.0
3427789,52724,104,6310,1809,0.0,3.75,6226,0,30004,30004,0,2903,1569532,4.33,3.58,5.0
3427800,31725,39,6188,918,0.0,4.02,6417,0,30016,30016,0,2934,1549532,4.33,4.18,5.0
3427811,76239,50,5567,883,0.0,4.03,6110,0,30005,30005,0,2966,1582704,4.34,4.2,5.0
3427815,25600,62,6566,1469,0.0,3.85,6662,0,30004,30004,0,2934,1599932,4.33,3.79,5.0
3427826,67289,60,5720,982,0.0,4.0,6241,0,30014,30014,0,2966,1589852,4.34,4.13,5.0
3427829,59327,55,5794,1294,0.0,3.9,5888,0,30004,30004,0,2903,1567283,4.33,3.91,5.0
3427847,41066,54,5611,982,0.0,4.0,6083,0,30004,30004,0,2934,1562992,4.33,4.13,5.0
3427848,50371,71,6079,1008,0.0,3.99,6418,0,30020,30020,0,2934,1592732,4.33,4.11,5.0
3427849,39993,39,6266,864,0.0,4.03,6391,0,30003,30003,0,2903,1586972,4.33,4.22,5.0
