ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3007916,57344,66,3682,1111,0.0,3.96,4047,0,30005,30005,0,2903,1616756,4.33,4.04,5.0
3007921,43619,31,5717,718,0.0,4.08,5743,0,30006,30006,0,2903,1528892,4.33,4.33,5.0
3007938,66377,80,6433,1096,0.0,3.96,6867,0,30014,30014,0,2934,1615692,4.33,4.05,5.0
3007949,22138,51,5691,1431,0.0,3.86,5676,0,30006,30006,0,2903,1540777,4.33,3.82,5.0
3007961,51897,25,5506,664,0.0,4.09,5706,0,30002,30002,0,2903,1528892,4.33,4.37,5.0
3007964,52411,52,5889,980,0.0,4.0,6071,0,30004,30004,0,2903,1569492,4.33,4.13,5.0
3007970,68588,29,6074,601,0.0,4.11,6152,0,30002,30002,0,2934,1617820,4.33,4.42,5.0
3007990,30576,57,5877,1368,0.0,3.89,5993,0,30003,30003,0,2966,1576992,4.34,3.86,5.0
3007995,85421,27,5723,583,0.0,4.12,6177,0,30003,30003,0,2966,1573092,4.34,4.43,5.0
3008003,19358,72,5403,2245,0.0,3.62,5478,0,30002,30002,0,2934,1540592,4.33,3.32,5.0
3008015,56443,53,6679,1124,0.0,3.95,6806,0,30003,30003,0,2903,1554092,4.33,4.03,5.0
3008017,38980,47,6117,989,0.0,4.0,6098,0,30006,30006,0,2966,1603662,4.34,4.13,5.0
3008025,15239,76,6182,2243,0.0,3.62,6132,0,30004,30004,0,2903,1537992,4.33,3.32,5.0
3008033,84586,27,5440,594,0.0,4.11,6152,0,30013,30013,0,2903,1609492,4.33,4.42,5.0
3008034,57442,30,5719,663,0.0,4.09,5839,0,30003,30003,0,2903,1550992,4.33,4.37,5.0
3008042,26520,50,6015,1354,0.0,3.88,6141,0,30002,30002,0,2903,1645575,4.33,3.87,5.0
3008070,100062,27,5556,568,0.0,4.12,6162,0,30010,30010,0,2903,1688792,4.33,4.44,5.0
3008071,69809,31,6258,587,0.0,4.12,6394,0,30002,30002,0,2934,1577892,4.33,4.43,5.0
3008072,26714,52,6212,1273,0.0,3.91,6202,0,30003,30003,0,2903,1566819,4.33,3.93,5.0
3008073,39703,92,4150,1634,0.0,3.81,4113,0,30005,30005,0,2966,1599382,4.34,3.69,5.0
