id,user_id,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_VLCdropped,QoA_VLCaudiorate,QoA_VLCaudioloss,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,QoS_operator,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
665,83,360,443.8256,24.71666667,0,43.78333333,0,2,978,5,4,1,30,5,3,4,3,4,3
671,83,360,736.2912,23.83333333,0,43.85,0,1,1698,5,4,1,30,5,4,4,4,4,4
668,83,360,731.5212,30.41666667,22,44.36666667,0,5,23693,4,2,1,30,5,1,1,2,2,1
664,83,360,1339.1001,25.96666667,2,45.55,0,1,4266,5,4,1,30,5,3,5,4,4,4
670,83,360,786.0325,25.13333333,0,44.46666667,0,1,2563,5,4,1,30,5,4,4,3,4,3
662,83,360,1052.7299,30.15,2,45.35,0,1,3275,5,4,1,30,5,3,5,4,4,4
667,83,360,834.6401,26.01666667,1,45.55,0,2,4599,4,2,1,30,5,3,4,3,4,3
661,83,360,578.2975,30.1,0,44.23333333,0,1,2210,5,4,1,30,5,4,5,4,4,4
663,83,240,115.27084,23.96666667,0,22.1,0,1,1870,5,4,1,30,5,4,5,4,4,4
669,83,360,507.99518,30.1,0,44.11666667,0,3,7234,2,2,1,30,5,3,3,4,4,3
666,83,360,529.9928,25.18333333,0,44.15,0,3,12316,4,2,1,30,5,1,2,3,3,2
