id,user_id,QoA_VLCresolution,QoA_VLCbitrate,QoA_VLCframerate,QoA_VLCdropped,QoA_VLCaudiorate,QoA_VLCaudioloss,QoA_BUFFERINGcount,QoA_BUFFERINGtime,QoS_type,QoS_operator,QoU_sex,QoU_age,QoU_Ustedy,QoF_begin,QoF_shift,QoF_audio,QoF_video,MOS
1121,127,360,900.54724,30.08333333,0,44.26666667,0,1,2619,4,3,1,23,5,5,5,5,5,5
1134,127,360,869.73224,24.6,0,44.21666667,0,3,11902,4,3,1,23,5,2,2,3,3,3
1124,127,360,550.7274,25.56666667,1,45.88333333,0,1,6238,2,3,1,23,5,5,5,5,5,5
1123,127,360,383.47644,29.7,0,43.96666667,0,1,2377,2,3,1,23,5,5,5,5,5,5
1138,127,360,204.81012,29.73333333,0,43.96666667,0,1,2620,2,3,1,23,5,4,4,5,5,5
1128,127,360,1055.575,30.25,1,45.68333333,0,1,11887,4,3,1,23,5,3,4,4,4,2
1122,127,360,409.38437,30.05,0,44.3,0,1,3993,4,3,1,23,5,5,5,5,5,5
1120,127,360,517.7151,29.76666667,0,43.96666667,0,1,2658,4,3,1,23,5,5,5,4,4,4
1127,127,360,224.34538,30.08333333,0,44.26666667,0,1,3731,4,3,1,23,5,4,5,4,4,4
1130,127,240,115.26938,23.95,0,22.1,0,1,2626,4,3,1,23,5,4,4,4,4,3
1136,127,240,55.105015,24.75,0,21.81666667,0,1,2958,2,3,1,23,5,5,5,5,5,5
1119,127,360,724.03033,25.08333333,0,44.46666667,0,1,2739,4,3,1,23,5,5,5,5,5,5
1131,127,360,1337.5414,25.7,1,45.41666667,0,2,5572,4,3,1,23,5,3,4,3,3,3
1129,127,360,360.0398,24.1,0,44.3,0,1,2756,4,3,1,23,5,5,5,5,5,5
1137,127,360,245.5925,29.71666667,0,43.96666667,0,1,2443,4,3,1,23,5,5,5,5,5,5
1135,127,360,702.48975,23.83333333,0,43.86666667,0,1,2808,4,3,1,23,5,4,5,5,5,5
1125,127,360,301.1933,25.63333333,1,45.21666667,0,1,4739,2,3,1,23,5,5,4,3,3,3
1118,127,360,772.98535,25.55,1,45.53333333,0,1,4457,4,3,1,23,5,4,5,4,4,4
1132,127,360,1290.1898,25.78333333,1,45.2,0,1,24274,4,3,1,23,5,2,2,1,3,2
1126,127,360,399.88773,29.8,0,43.85,0,1,3228,4,3,1,23,5,5,5,4,4,4
1133,127,360,397.4947,24.81666667,0,43.81666667,0,1,2323,4,3,1,23,5,4,4,4,4,4
